dep;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;moyenne_periode
23; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 2; 0; 0; 1; 0;  0; 0; 0;  2;  2;  1;  3;  1;  1;  0; -1; -2;  0;  0;  0;  0; -1; -1; -2;  2; -1;  0; 0,3
24; 0; 2; 0; 0; 0; 1; 1;-1; 1; 0; 0;-1;-1; 1; 0; 1;  1; 0; 0;  0;  0;  0; -1;  1;  0;  1;  0; -2;  0;  1;  0;  0;  0;  0;  0; -1; -1;  0; 0,1
25; 8; 4; 6; 0; 1; 4; 1; 2; 8; 1;18;-3;-2; 2; 9;10;  4;-3; 2;  6;  0; -4; -2;  2; -2;  0;  0; -5;  1; -5; -7; -6;  0; -1;  3; -5; -1; -3; 1,4
26; 6; 1; 0; 2; 5; 5; 4; 5; 5;11; 6; 9; 0; 1; 0; 5;  2;-4; 6; -3; -2;  0; -5; -1; -2; -2;  2; -2; -1; -1; -4; -2; -1; -1; -2; -7; -3; -1; 1,3
27; 1; 0; 2; 1; 0; 0; 2; 3; 1; 0; 0; 2; 3;-5; 0; 2;  0; 0;-1;  1; -6;  0;  2;  0; -1;  0;  0;  0; -1;  0;  0;  0; -1; -1;  0;  7; -1;  0; 0,1
28; 1;-2; 0; 0; 8; 2; 6; 2; 5;-1; 3; 2;-2; 2; 2;-3;  0; 3;-1; -1;  2; -2;  1; -5;  0;  0; -1; -2;  2;  2; -3;  0;  1; -1; -1;  2; -2;  0; 0,6
29; 0;-1;-2; 0;-1; 0; 8; 0; 0; 2; 0; 1; 0; 5;10; 5;  1; 1; 6;  2;  1; -3;  0; -1; -1; -1;  0; -3; -2; -3; -2; -1; -1;  0; -3; -2; -1; -1; 0,6
2A; 0;14; 0;-1;-4; 0; 0; 4;-1; 5; 2; 0; 2; 3;-2; 0;  1; 0;-1; -1; -2; -2; -3;  0;  0;  1;  1; -1; -2; -1; -2;  0;  1;  0; -2; -2;  0;  0; 0,3
2B; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 2; 0;  0; 0;-1;  0;  0;  0; -1;  0; -1;  0;  0;  1;  1;  0;  0;  0;  0;  0;  0;  0;  0;  0; 0,1
30;-2; 0; 0; 0; 4; 3; 2; 1; 0; 3;-1; 4; 3; 6; 4; 0; -1; 7; 5;  2; -2;  0;  0; -1;  0;  0; -4;  0;  0;  2; -2;  1;  1; -1;  0; -8; -1; -1; 1,0
